ID,Colonia,Alcaldía,Latitud,Longitud,Puntos_de_acceso,Programa
T-III Dr. Manuel Escontri_a,SAN ANGEL,ÁLVARO OBREGÓN,19.3428,-99.1933,2,Centros_de_Salud
T-III Minas de Cristo,MINAS CRISTO REY,ÁLVARO OBREGÓN,19.3814,-99.2007,2,Centros_de_Salud
T-III Jalapa el Grande,JALALPA EL GRANDE,ÁLVARO OBREGÓN,19.3717,-99.2392,2,Centros_de_Salud
T-II El Piru,EL PIRU,ÁLVARO OBREGÓN,19.3816,-99.2175,1,Centros_de_Salud
T-II La Conchita,LA CONCHITA,ÁLVARO OBREGÓN,19.3929,-99.2064,1,Centros_de_Salud
T-I Corpus Christi,CORPUS CHRISTY 2146,ÁLVARO OBREGÓN,19.3633,-99.2476,1,Centros_de_Salud
T-I Ave Real,AVENIDA REAL,ÁLVARO OBREGÓN,19.3618,-99.2385,1,Centros_de_Salud
T-I Hero_n Proal,REACOMODO VALENTIN GOMEZ FARIAS,ÁLVARO OBREGÓN,19.3595,-99.2313,1,Centros_de_Salud
T-I Puente Colorado,SAN CLEMENTE,ÁLVARO OBREGÓN,19.3493,-99.23,1,Centros_de_Salud
T-I Tarango,AGUILAS 3ER PARQUE,ÁLVARO OBREGÓN,19.3532,-99.2191,1,Centros_de_Salud
T-I Tetelpan,TETELPAN 2563,ÁLVARO OBREGÓN,19.3415,-99.2307,1,Centros_de_Salud
T-III Dr. Eduardo Jenner,SANTA FE 2500,ÁLVARO OBREGÓN,19.3819,-99.2428,2,Centros_de_Salud
T-III Dr. Manuel Marquez Escobedo,HOGAR Y REDENCION,ÁLVARO OBREGÓN,19.3709,-99.213,3,Centros_de_Salud
T-I UNEME EC Dr. Manuel Escontri_a,SAN ANGEL,ÁLVARO OBREGÓN,19.3428,-99.1933,1,Centros_de_Salud
T-III Dr. Manuel Marti_nez Baez,SAN MARTIN XOCHINAHUAC 2452,AZCAPOTZALCO,19.4985,-99.1928,1,Centros_de_Salud
T-I Santa Ba_rbara depende del C..S. Manuel Martinez Baez,SANTA BARBARA,AZCAPOTZALCO,19.4959,-99.1782,1,Centros_de_Salud
T-I Reynosa depende del C..S. Manuel Martinez Baez,SAN ANDRES 2408,AZCAPOTZALCO,19.4925,-99.1847,1,Centros_de_Salud
T-I Santa Ine_sdepende del C..S. Manuel Martinez Baez,SANTA INES,AZCAPOTZALCO,19.4927,-99.1901,1,Centros_de_Salud
T-II Tezozo_moc,TEZOZOMOC,AZCAPOTZALCO,19.4894,-99.1988,3,Centros_de_Salud
T-II Santiago Ahuizotla,SANTIAGO AHUIZOTLA,AZCAPOTZALCO,19.4789,-99.2119,1,Centros_de_Salud
T-I 23 de Abril depende del C.S. Santiago Ahuizotla,SAN PEDRO XALPA 2490,AZCAPOTZALCO,19.482,-99.2157,1,Centros_de_Salud
T-I San Pedro Xalpa depende del C.S. Santiago Ahuizotla,SAN PEDRO XALPA 2491,AZCAPOTZALCO,19.4844,-99.2098,1,Centros_de_Salud
T-I San Miguel Amantla depende del C.S. Santiago Ahuizotla,SAN MIGUEL AMANTLA,AZCAPOTZALCO,19.4753,-99.2043,1,Centros_de_Salud
T-II El Arenal,LA RAZA,AZCAPOTZALCO,19.465,-99.1485,2,Centros_de_Salud
T-I Prohogardepende del C.S. El Arenal,PRO HOGAR,AZCAPOTZALCO,19.4743,-99.15,1,Centros_de_Salud
T-I Tlatilco depende del C.S. El Arenal,TLATILCO 2572,AZCAPOTZALCO,19.4596,-99.1644,1,Centros_de_Salud
T-III Dr. Galo Sobero_n y Parra,SANTA CATARINA,AZCAPOTZALCO,19.4908,-99.1771,3,Centros_de_Salud
T-III Portales,SINDICATO MEXICANO DE ELECTRICISTAS,AZCAPOTZALCO,19.472,-99.1794,1,Centros_de_Salud
T-III Mixcoac,SANTA MARIA NONOALCO,BENITO JUÁREZ,19.3814,-99.1888,1,Centros_de_Salud
T-I Valentin Gomez Farias,TACUBAYA,MIGUEL HIDALGO,19.3957,-99.1878,1,Centros_de_Salud
T-I Xoco,XOCO,BENITO JUÁREZ,19.3609,-99.1661,1,Centros_de_Salud
T-III Dra. Margarita ChornEy Salazar,ATLANTIDA,COYOACÁN,19.3408,-99.1478,2,Centros_de_Salud
T-II Ajusco,AJUSCO,COYOACÁN,19.3193,-99.1601,2,Centros_de_Salud
T-II Santa ursula Coapa,PEDREGAL DE SANTA URSULA,COYOACÁN,19.3089,-99.1596,2,Centros_de_Salud
T-III San Francisco Culhuacan,EX EJIDO DE SAN FRANCISCO CULHUACAN,COYOACÁN,19.337,-99.123,1,Centros_de_Salud
T-I Copilco el Alto,COPILCO EL ALTO,COYOACÁN,19.3327,-99.1777,1,Centros_de_Salud
T-II Carmen Serdan,CARMEN SERDAN 2131,COYOACÁN,19.3203,-99.1087,2,Centros_de_Salud
T-III Dr. Gustavo A. Rovirosa PErez,PEDREGAL DE SANTA URSULA,COYOACÁN,19.3143,-99.1501,2,Centros_de_Salud
T-II Nayaritas,AJUSCO HUAYAMILPAS,COYOACÁN,19.3221,-99.1531,1,Centros_de_Salud
T-I LA CiEnega,PEDREGAL DE SANTO DOMINGO 2375,COYOACÁN,19.3356,-99.1688,1,Centros_de_Salud
T-III Policlinica Dr. Salvador Allende,AMPLIACION CANDELARIA,COYOACÁN,19.3274,-99.1507,2,Centros_de_Salud
T-I Santo Domingo Poniente,PEDREGAL DE SANTO DOMINGO 2375,COYOACÁN,19.319,-99.1697,1,Centros_de_Salud
T-III Cuajimalpa,CUAJIMALPA,CUAJIMALPA DE MORELOS,19.3569,-99.2974,1,Centros_de_Salud
T-III La Navidad,NAVIDAD (GRANJAS DE NAVIDAD),CUAJIMALPA DE MORELOS,19.3754,-99.2834,1,Centros_de_Salud
T-I Chimalpa,SAN PABLO CHIMALPA,CUAJIMALPA DE MORELOS,19.3545,-99.3192,1,Centros_de_Salud
T-I Memetla,EL YAQUI,CUAJIMALPA DE MORELOS,19.3611,-99.286,1,Centros_de_Salud
T-I Acopilco,SAN LORENZO ACOPILCO,CUAJIMALPA DE MORELOS,19.3335,-99.3264,1,Centros_de_Salud
T-I Palo Alto,COOPERATIVA PALO ALTO,CUAJIMALPA DE MORELOS,19.383,-99.2553,1,Centros_de_Salud
T-I El Chamizal,LOMAS DEL CHAMIZAL,CUAJIMALPA DE MORELOS,19.3905,-99.2637,1,Centros_de_Salud
T-I Jardines de la Palma,JARDINES DE LA PALMA,CUAJIMALPA DE MORELOS,19.371,-99.2803,1,Centros_de_Salud
T-I Rosa Torres,SAN JOSE DE LOS CEDROS 2431,CUAJIMALPA DE MORELOS,19.3688,-99.2894,1,Centros_de_Salud
CLINICA Centro Dermatologico Ladislao de la Pascua,BUENOS AIRES,CUAUHTÉMOC,19.4066,-99.1496,3,Centros_de_Salud
T-III Soledad Orozco de avila Camacho,EX HIPODROMO DE PERALVILLO,CUAUHTÉMOC,19.4588,-99.1333,1,Centros_de_Salud
T-III Dr. Manuel Dominguez,GUERRERO,CUAUHTÉMOC,19.4403,-99.1471,1,Centros_de_Salud
T-III Dr. Atanasio Garza Rios,DOCTORES,CUAUHTÉMOC,19.4182,-99.1474,3,Centros_de_Salud
T-III Dr. JosE Maria Rodriguez,ASTURIAS,CUAUHTÉMOC,19.4042,-99.1359,3,Centros_de_Salud
CLINICA Clinica de Especialidades 2,CENTRO,CUAUHTÉMOC,19.4345,-99.129,1,Centros_de_Salud
Clinica de Especialidades 5,CENTRO,CUAUHTÉMOC,19.4272,-99.1436,3,Centros_de_Salud
Clinica Especializada en Medicina Integral,SAN RAFAEL,CUAUHTÉMOC,19.4367,-99.1636,3,Centros_de_Salud
T-I Zocalo,CENTRO,CUAUHTÉMOC,19.4328,-99.1343,1,Centros_de_Salud
T-III Dr. Domingo Orvañanos,MORELOS,CUAUHTÉMOC,19.4443,-99.1353,3,Centros_de_Salud
T-I San Juan de Aragon 6ª Seccion,SAN JUAN DE ARAGON VI SECCION,GUSTAVO A. MADERO,19.4679,-99.0685,1,Centros_de_Salud
T-I Felipe Berriozaval,GENERAL FELIPE BERRIOZABAL,GUSTAVO A. MADERO,19.5554,-99.1301,1,Centros_de_Salud
T-II 25 de Julio,25 DE JULIO,GUSTAVO A. MADERO,19.4957,-99.0807,1,Centros_de_Salud
T-I Arboledas de Cuautepec,ARBOLEDAS DE CUAUTEPEC 2085,GUSTAVO A. MADERO,19.5609,-99.1247,1,Centros_de_Salud
T-I Cocoyotes,COCOYOTES 2138,GUSTAVO A. MADERO,19.5499,-99.1275,1,Centros_de_Salud
T-II Valle Madero,LOMA LA PALMA,GUSTAVO A. MADERO,19.5483,-99.1439,1,Centros_de_Salud
T-I Cabo Buena Esperanza,GABRIEL HERNANDEZ 2205,GUSTAVO A. MADERO,19.5018,-99.0999,1,Centros_de_Salud
T-I Lomas de Cuahutepec,LOMAS DE CUAUTEPEC,GUSTAVO A. MADERO,19.5692,-99.1343,1,Centros_de_Salud
T-I La Pastora,LA PASTORA 2257,GUSTAVO A. MADERO,19.5241,-99.1377,1,Centros_de_Salud
T-II Narciso Bassols,NARCISO BASSOLS,GUSTAVO A. MADERO,19.4541,-99.0584,1,Centros_de_Salud
T-I San Juan de Aragon 1ª Seccion,SAN JUAN DE ARAGON I SECCION 2438,GUSTAVO A. MADERO,19.4641,-99.0936,1,Centros_de_Salud
T-I Providencia,PROVIDENCIA 2395,GUSTAVO A. MADERO,19.4844,-99.0724,1,Centros_de_Salud
T-III Nueva Atzacoalco,NUEVA ATZACOALCO,GUSTAVO A. MADERO,19.4962,-99.0862,3,Centros_de_Salud
T-III Dr. Gabriel Garzon Cossa,LA JOYA,GUSTAVO A. MADERO,19.4568,-99.1098,1,Centros_de_Salud
T-III Palmitla,PALMATITLA 2356,GUSTAVO A. MADERO,19.5528,-99.1338,1,Centros_de_Salud
T-II Gabriel Hernandez,GABRIEL HERNANDEZ 2207,GUSTAVO A. MADERO,19.5067,-99.1021,1,Centros_de_Salud
T-II La Malinche,LA MALINCHE,GUSTAVO A. MADERO,19.4525,-99.1017,1,Centros_de_Salud
T-II La Esmeralda,LA ESMERALDA 2242,GUSTAVO A. MADERO,19.4876,-99.0849,1,Centros_de_Salud
T-I Nueva Atzacoalco,NUEVA ATZACOALCO,GUSTAVO A. MADERO,19.5033,-99.0794,1,Centros_de_Salud
T-I Gertrudis Sanchez,GERTRUDIS SANCHEZ 2DA SECCION 2209,GUSTAVO A. MADERO,19.4686,-99.0999,1,Centros_de_Salud
T-I Compositores Mexicanos,COMPOSITORES MEXICANOS,GUSTAVO A. MADERO,19.5668,-99.1395,1,Centros_de_Salud
T-III Dr. Rafael Ramirez Suarez,SAN BARTOLO ATEPEHUACAN,GUSTAVO A. MADERO,19.4928,-99.1422,1,Centros_de_Salud
T-I Barrio San Juan Ticoman,SAN JUAN Y GUADALUPE TICOMAN,GUSTAVO A. MADERO,19.5218,-99.1284,1,Centros_de_Salud
T-I Castillo Grande,CASTILLO GRANDE 2133,GUSTAVO A. MADERO,19.5382,-99.1387,1,Centros_de_Salud
T-I Diana Laura Rojas de Colosio,LUIS DONALDO COLOSIO,GUSTAVO A. MADERO,19.5614,-99.1438,1,Centros_de_Salud
T-I Malacates Ponderosa,MALACATES 2322,GUSTAVO A. MADERO,19.5747,-99.1327,1,Centros_de_Salud
T-III Dr. Manuel Cardenas de la Vega,MARTIN CARRERA,GUSTAVO A. MADERO,19.4863,-99.1129,3,Centros_de_Salud
T-III Dr. Luis Mazzoti Galindo,AGRICOLA PANTITLAN,IZTACALCO,19.4136,-99.0584,1,Centros_de_Salud
T-III 2 de Octubre,CAMPAMENTO 2 DE OCTUBRE 2118,IZTACALCO,19.3844,-99.1175,1,Centros_de_Salud
T-III Dr. JosE Zozaya,SANTA ANITA 2492,IZTACALCO,19.3985,-99.1188,1,Centros_de_Salud
T-III Manuel Pesqueira,AGRICOLA ORIENTAL,IZTACALCO,19.3943,-99.0707,3,Centros_de_Salud
T-II Ramos Millan,AMPLIACION GABRIEL RAMOS MILLAN,IZTACALCO,19.3864,-99.0953,3,Centros_de_Salud
T-III Dr. Rafael Carrillo,SAN LUCAS,IZTAPALAPA,19.3603,-99.0946,1,Centros_de_Salud
T-III Dr. Maximiliano Ruiz Castañeda,SANTA MARTHA ACATITLA 2524,IZTAPALAPA,19.363,-99.0095,1,Centros_de_Salud
T-II Ejido de los Reyes,LOS REYES CULHUACAN 2313,IZTAPALAPA,19.345,-99.1016,3,Centros_de_Salud
T-I Santa Cruz Meyahualco,SANTA CRUZ MEYEHUALCO 2497,IZTAPALAPA,19.3465,-99.0445,1,Centros_de_Salud
T-I Apatlalco,APATLACO,IZTAPALAPA,19.3797,-99.1171,1,Centros_de_Salud
T-II San Miguel Teotongo,SAN MIGUEL TEOTONGO,IZTAPALAPA,19.3427,-98.9899,3,Centros_de_Salud
T-I Las Peñas,LA ERA,IZTAPALAPA,19.3394,-99.0521,1,Centros_de_Salud
T-I Aculco,SAN JOSE ACULCO,IZTAPALAPA,19.3734,-99.1011,1,Centros_de_Salud
T-II Santiago Acahualtepec,SANTIAGO ACAHUALTEPEC 2DA AMPLIACION 2530,IZTAPALAPA,19.3455,-99.0095,1,Centros_de_Salud
T-I Xalpa,XALPA,IZTAPALAPA,19.3321,-99.0165,1,Centros_de_Salud
T-I Renovacion,RENOVACION,IZTAPALAPA,19.3699,-99.0472,1,Centros_de_Salud
T-II Ermita Zaragoza,ERMITA ZARAGOZA,IZTAPALAPA,19.3632,-98.9999,1,Centros_de_Salud
T-I Honorato Leal,LAS PEÑAS,IZTAPALAPA,19.3344,-99.053,1,Centros_de_Salud
CLINICA Clinica VIH Iztapalapa,UNIDAD VICENTE GUERRERO,IZTAPALAPA,19.3569,-99.0512,3,Centros_de_Salud
CLINICA Clinica de Diabetes,ESCUADRON 201,IZTAPALAPA,19.3666,-99.1113,3,Centros_de_Salud
Clinica Integral para la Atencion de la Mujer (CAIM),SAN ANTONIO,IZTAPALAPA,19.3103,-99.0705,3,Centros_de_Salud
TI- Campestre Potrero,CAMPESTRE POTRERO 2127,IZTAPALAPA,19.3313,-98.9785,1,Centros_de_Salud
T-I Francisco Villa,FRANCISCO VILLA,IZTAPALAPA,19.3375,-99.0588,1,Centros_de_Salud
T-I Gabriela Mistral,LEYES DE REFORMA 1RA SECCION,IZTAPALAPA,19.3601,-99.0687,1,Centros_de_Salud
T-III Chinampac de Juarez,CHINAMPAC DE JUAREZ,IZTAPALAPA,19.3771,-99.0541,3,Centros_de_Salud
T-III Dr. Guillermo Roman Carrillo,PANTEON DE SAN LORENZO,IZTAPALAPA,19.313,-99.0657,3,Centros_de_Salud
T-III Quetzalcoatl,DESARROLLO URBANO QUETZALCOATL,IZTAPALAPA,19.3275,-99.0449,3,Centros_de_Salud
T-III San Andres Tomatlan,SAN ANDRES TOMATLAN,IZTAPALAPA,19.3279,-99.1035,1,Centros_de_Salud
T-II Santa Maria Aztahuacan,SANTA MARIA AZTAHUACAN 2506,IZTAPALAPA,19.3562,-99.0321,3,Centros_de_Salud
T-I HEroes de Padierna,HEROES DE PADIERNA,LA MAGDALENA CONTRERAS,19.3152,-99.2263,1,Centros_de_Salud
T-I Lomas de San BernabE,TIERRA UNIDA,LA MAGDALENA CONTRERAS,19.3031,-99.2698,1,Centros_de_Salud
T-I San Nicolas Totolapan,SAN NICOLAS TOTOLAPAN 2480,LA MAGDALENA CONTRERAS,19.2984,-99.2434,1,Centros_de_Salud
T-I Tierra Colorada,TIERRA COLORADA,LA MAGDALENA CONTRERAS,19.2715,-99.2467,1,Centros_de_Salud
T-II San Bartolo Ameyalco,SAN BARTOLO AMEYALCO,LA MAGDALENA CONTRERAS,19.3275,-99.2466,1,Centros_de_Salud
T-I Exhacienda de Eslava,SAN NICOLAS TOTOLAPAN 2482,LA MAGDALENA CONTRERAS,19.2938,-99.2427,1,Centros_de_Salud
Clinica Integral de Atencion a la Mujer Hermila Galindo,HUAYATLA,LA MAGDALENA CONTRERAS,19.3123,-99.26,3,Centros_de_Salud
T-I 1º De Mayo,SAN NICOLAS TOTOLAPAN 2480,LA MAGDALENA CONTRERAS,19.3033,-99.2378,1,Centros_de_Salud
T-III Oasis,SAN BERNABE OCOTEPEC,LA MAGDALENA CONTRERAS,19.3102,-99.2591,3,Centros_de_Salud
T-III MExico España,ANAHUAC MARIANO ESCOBEDO,MIGUEL HIDALGO,19.4464,-99.1817,1,Centros_de_Salud
T-III Dr. angel Brioso Vasconcelos,HIPODROMO CONDESA,CUAUHTÉMOC,19.4091,-99.1827,1,Centros_de_Salud
T-III Dr. Manuel GutiErrez Zavala,ANAHUAC,MIGUEL HIDALGO,19.4425,-99.173,1,Centros_de_Salud
T-III Dr. Manuel Gonzalez Rivera,SANTO TOMAS,MIGUEL HIDALGO,19.4519,-99.169,3,Centros_de_Salud
T-II DR. Luis Alberto Erosa,PANCHIMALCO,MILPA ALTA,19.2033,-99.0479,1,Centros_de_Salud
T-I San Jeronimo Mexacan,SAN JERONIMO MIACATLAN,MILPA ALTA,19.1925,-99.0066,1,Centros_de_Salud
T-I San BartolomE Ximulco,SAN BARTOLOME XICOMULCO,MILPA ALTA,19.207,-99.0683,1,Centros_de_Salud
T-I San Juan Tepenahuac,SAN JUAN TEPENAHUAC,MILPA ALTA,19.1871,-98.9936,1,Centros_de_Salud
T-I San Lorenzo Tlayucan,SAN LORENZO TLACOYUCAN,MILPA ALTA,19.1771,-99.0298,1,Centros_de_Salud
T-II San Salvador Cuauhtenco,SAN SALVADOR CUAUHTENCO,MILPA ALTA,19.192,-99.0919,3,Centros_de_Salud
T-II Santa Ana Tlacotenco,SAN MARCOS,MILPA ALTA,19.173,-98.9946,3,Centros_de_Salud
T-III Dr. Gaston Melo,TENANTITLA,MILPA ALTA,19.2202,-98.9957,3,Centros_de_Salud
T-III San Francisco Tlatenco,GUADALUPE 2213,TLÁHUAC,19.2953,-99.0139,1,Centros_de_Salud
T-II Ampliacion Selene,SELENE 2547,TLÁHUAC,19.2853,-98.9954,2,Centros_de_Salud
T-II Del Mar,AGRICOLA METROPOLITANA,TLÁHUAC,19.2891,-99.0551,1,Centros_de_Salud
T-II Santa Catarina Yecahuzotl,SAN MIGUEL,TLÁHUAC,19.3079,-98.9681,1,Centros_de_Salud
T-I Zapotitlan,SANTIAGO CENTRO,TLÁHUAC,19.2974,-99.0303,1,Centros_de_Salud
T-II 13 de Septiembre,LOS OLIVOS 2309,TLÁHUAC,19.2988,-99.0568,1,Centros_de_Salud
T-II Zapotitla,ZAPOTITLA 2597,TLÁHUAC,19.3111,-99.0361,1,Centros_de_Salud
CLINICA Clinica Comunitaria Miquic,SANTA CRUZ,TLÁHUAC,19.2258,-98.9514,3,Centros_de_Salud
T-III Miguel Hidalgo,MIGUEL HIDALGO 2331,TLÁHUAC,19.2911,-99.0472,3,Centros_de_Salud
T-II San Juan Ixtayopan,LA ASUNCION,TLÁHUAC,19.2431,-98.9946,2,Centros_de_Salud
T-III DR. JosE Castro Villagrana,TORIELLO GUERRA,TLALPAN,19.2935,-99.1667,1,Centros_de_Salud
T-III DR. Gerardo Varela Mariscal,SANTO TOMAS AJUSCO 2544,TLALPAN,19.2212,-99.2043,1,Centros_de_Salud
T-III Ampliacion Hidalgo,MIGUEL HIDALGO 3RA SECCION,TLALPAN,19.2854,-99.208,1,Centros_de_Salud
T-III DR. David Fragoso Lizalde,EJIDOS DE SAN PEDRO MARTIR,TLALPAN,19.2655,-99.1608,1,Centros_de_Salud
T-II Topilejo,SAN MIGUEL TOPILEJO 2479,TLALPAN,19.2033,-99.1468,1,Centros_de_Salud
T-I Lomas de Padierna,LOMAS DE PADIERNA 2277,TLALPAN,19.2913,-99.223,1,Centros_de_Salud
T-I Magdalena Petlacalco,LA MAGDALENA PETLACALCO,TLALPAN,19.2339,-99.1804,1,Centros_de_Salud
T-I Bekal,BELVEDERE AJUSCO,TLALPAN,19.2682,-99.2272,1,Centros_de_Salud
T-I Xitle,MARIA ESTHER ZUNO DE ECHEVERRIA,TLALPAN,19.2557,-99.1827,1,Centros_de_Salud
T-I San Miguel Xicalco,SAN MIGUEL XICALCO,TLALPAN,19.2335,-99.164,1,Centros_de_Salud
T-I Parres,PARRES EL GUARDA 2372,TLALPAN,19.1369,-99.1752,1,Centros_de_Salud
T-I DIF,MIGUEL HIDALGO 2DA SECCION,TLALPAN,19.2848,-99.1957,1,Centros_de_Salud
T-II Pedregal de las Aguilas,PEDREGAL DE LAS AGUILAS,TLALPAN,19.2722,-99.1756,1,Centros_de_Salud
T-I Hortencia,PEDREGAL DE SAN NICOLAS 1RA SECCION 2374,TLALPAN,19.2973,-99.2287,1,Centros_de_Salud
T-I Pedregal San Nicolas del SUR,PEDREGAL DE SAN NICOLAS 1RA SECCION 2373,TLALPAN,19.2835,-99.2377,1,Centros_de_Salud
T-I Ejido Huipulco,EX HACIENDA SAN JUAN DE DIOS,TLALPAN,19.2862,-99.1337,1,Centros_de_Salud
